y,x,defect_num
77,130,0
77,131,0
77,132,0
77,133,0
78,129,0
78,130,0
78,131,0
78,132,0
78,133,0
79,128,0
79,129,0
79,130,0
79,131,0
80,128,0
80,129,0
81,111,0
81,112,0
81,127,0
81,128,0
82,110,0
82,111,0
82,112,0
82,113,0
82,114,0
82,126,0
82,127,0
82,128,0
83,111,0
83,112,0
83,113,0
83,114,0
83,115,0
83,126,0
83,127,0
83,140,0
83,141,0
84,111,0
84,112,0
84,113,0
84,114,0
84,115,0
84,125,0
84,126,0
84,127,0
84,128,0
84,140,0
84,141,0
84,142,0
85,112,0
85,113,0
85,114,0
85,115,0
85,116,0
85,124,0
85,125,0
85,126,0
85,127,0
85,128,0
85,140,0
85,141,0
85,142,0
86,113,0
86,114,0
86,115,0
86,116,0
86,117,0
86,124,0
86,125,0
86,126,0
86,127,0
86,128,0
86,139,0
86,140,0
86,141,0
87,114,0
87,115,0
87,116,0
87,117,0
87,122,0
87,123,0
87,124,0
87,125,0
87,126,0
87,127,0
87,128,0
87,139,0
87,140,0
87,141,0
88,115,0
88,116,0
88,117,0
88,118,0
88,119,0
88,120,0
88,121,0
88,122,0
88,123,0
88,124,0
88,125,0
88,126,0
88,127,0
88,128,0
88,138,0
88,139,0
88,140,0
88,141,0
89,115,0
89,116,0
89,117,0
89,118,0
89,119,0
89,120,0
89,121,0
89,122,0
89,123,0
89,124,0
89,125,0
89,126,0
89,127,0
89,128,0
89,129,0
89,137,0
89,138,0
89,139,0
89,140,0
89,141,0
90,115,0
90,116,0
90,117,0
90,118,0
90,119,0
90,120,0
90,121,0
90,122,0
90,123,0
90,124,0
90,125,0
90,126,0
90,127,0
90,128,0
90,129,0
90,130,0
90,136,0
90,137,0
90,138,0
90,139,0
90,140,0
91,116,0
91,117,0
91,118,0
91,119,0
91,120,0
91,121,0
91,122,0
91,123,0
91,124,0
91,125,0
91,126,0
91,127,0
91,128,0
91,129,0
91,130,0
91,131,0
91,133,0
91,134,0
91,135,0
91,136,0
91,137,0
91,138,0
91,139,0
91,140,0
92,116,0
92,117,0
92,118,0
92,119,0
92,120,0
92,121,0
